IndividualID,Forenames,Surname,Portrait Filename,Alias,Gender,has Portrait?,is Dragoman?,Apprentice only,BirthDate,BirthLocation,DeathDate,DeathLocation,Occupation,LifeSpan,Relation,BudgieCode,Ahnentafel,HasRangedBirthDate,HasParents,CensusFactCount,MarriageDates,MarriageLocations,RelationToRoot,BirthStart,BirthEnd,DeathStart,DeathEnd,FamilyIDsAsParent,FamilyIDsAsChild,ChildrenCount,MarriageCount
I0127,Gian Rinaldo,Carli,Fig.4.1.ZMP-1676.JPG,,M,PORTRAIT,Y,,1646,,1722,,Grand Dragoman,75 to 76,By Marriage,,0,FALSE,TRUE,0,BEF 1687,,,1/1/1646 12:00:00 AM,12/31/1646 12:00:00 AM,1/1/1722 12:00:00 AM,12/31/1722 12:00:00 AM,F0076,F0049,0,1
I0389,Stefano,Carli,Fig.4.36.Stefano Carli ZMP-1702 small.jpg,,M,PORTRAIT,Y,,1726,,1813,,Gdl,86 to 87,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1726 12:00:00 AM,12/31/1726 12:00:00 AM,1/1/1813 12:00:00 AM,12/31/1813 12:00:00 AM,F0153,F0125,0,1
I0490,Bradamante,Carli,?,,F,PORTRAIT,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0154,0,0
I0476,Cecilia,Contessa Manzini Carli,Fig.4.37.Cecilia Manzini Carli ZMP-2239 small.JPG,,F,PORTRAIT,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0153,,0,1
I0223,Caterina,De Negri,Fig.4.39.Caterina Negri ZMP-1675.JPG,,F,PORTRAIT,,,ca. 1670,,1711,,,40 to 42,By Marriage,,0,FALSE,FALSE,0,BEF 1687,,,1/1/1669 12:00:00 AM,12/31/1670 12:00:00 AM,1/1/1711 12:00:00 AM,12/31/1711 12:00:00 AM,F0076,,0,1
I0095,Marcantonio,Mamuca della Torre,Fig.4.28.Marcantonio Mamuca della Torre ZMP-1678.JPG,,M,PORTRAIT,Y,,1636,,< 1701,,"Employed By Imperial Resident, Also Works for Polish Legate, Porte",<= 64,By Marriage,,0,FALSE,TRUE,0,23 Apr 1673,,,1/1/1636 12:00:00 AM,12/31/1636 12:00:00 AM,12/31/1700 12:00:00 AM,12/31/1700 12:00:00 AM,F0036,F0034,5,1
I0128,Cristoforo,Mamuca della Torre,Fig.4.32.ZMP-1681.JPG,,M,PORTRAIT,Y,,1681,,11 Sep 1760,,"Entrusted By Father to Count Lamberg, Austrian Ambassador to Rome, in Preparation for Diplomatic Career",78 to 79,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1681 12:00:00 AM,12/31/1681 12:00:00 AM,9/11/1760 12:00:00 AM,9/11/1760 12:00:00 AM,F0150,F0036,4,1
I0129,Leopoldo,Mamuca della Torre,Fig.4.30.Leopoldo Mamuca della Torre ZMP-1679.JPG,,M,PORTRAIT,Y,,ca. 1676,,1 Sep 1712,,Became First Dragoman of Habsburg Legation at Age 29 (Lodi 1701: 372 [Google Pg #],35 to 37,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1675 12:00:00 AM,12/31/1676 12:00:00 AM,9/1/1712 12:00:00 AM,9/1/1712 12:00:00 AM,,F0036,0,0
I0096,Giustiniana,Tarsia,Fig.4.29.Giustiniana Tarsia ZMP-2558.tif,,F,PORTRAIT,,,ca. 1655,,< 1712,,,<= 57,By Marriage,,0,FALSE,TRUE,0,23 Apr 1673,,,1/1/1654 12:00:00 AM,12/31/1655 12:00:00 AM,12/31/1711 12:00:00 AM,12/31/1711 12:00:00 AM,F0036,F0045,5,1
I0117,Christoforo,Tarsia,Fig.4.23.Cristoforo Tarsia 1635.jpg,,M,PORTRAIT,Y,,ca. 1610,,1678,,Appointed Gdl,67 to 69,By Marriage,,0,FALSE,TRUE,0,ABT 1640,,,1/1/1609 12:00:00 AM,12/31/1610 12:00:00 AM,1/1/1678 12:00:00 AM,12/31/1678 12:00:00 AM,F0045,F0046,6,1
I0119,Tommaso,Tarsia,Fig.4.27.Tommaso Tarsia 1681.jpg,,M,PORTRAIT,Y,,1641,,1710,,Gdl,68 to 69,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1641 12:00:00 AM,12/31/1641 12:00:00 AM,1/1/1710 12:00:00 AM,12/31/1710 12:00:00 AM,,F0045,0,0
I0120,Giacomo,Tarsia,Fig.4.26.Giacomo Tarsia.jpg,,M,PORTRAIT,Y,,< 1650,,> 1699,,Elected Prior of Magnifica Comunita,>= 110,By Marriage,,0,FALSE,TRUE,0,BEF 1686,,,12/31/1649 12:00:00 AM,12/31/1649 12:00:00 AM,1/1/1700 12:00:00 AM,1/1/1700 12:00:00 AM,F0047,F0045,10,1
I0123,Marco,Tarsia,Fig.4.25.Marco Tarsia.jpg,,M,PORTRAIT,Y,,< 1624,,> 1650,,Gdl,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,12/31/1623 12:00:00 AM,12/31/1623 12:00:00 AM,1/1/1651 12:00:00 AM,1/1/1651 12:00:00 AM,,F0046,0,0
I0125,Bradamante,Tarsia,Fig.4.38.Bradamante Tarsia ZMP-1701.JPG,,F,PORTRAIT,,,ca. 1620,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,1/1/1619 12:00:00 AM,12/31/1620 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0049,F0046,6,1
I0153,Ruggier,Tarsia,Fig.4.24.Ruggiero Tarsia.jpg,,M,PORTRAIT,Y,,< 1620,,ca. 1660,,Gdl,>= 39,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/1619 12:00:00 AM,12/31/1619 12:00:00 AM,1/1/1659 12:00:00 AM,12/31/1660 12:00:00 AM,F0146,F0046,1,1
I0489,Bonna,Anna /Patriga,,,F,,,,UNKNOWN,,1678,,,Unknown,Linked by Marriages,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1678 12:00:00 AM,12/31/1678 12:00:00 AM,F0159,,0,1
I0484,Anna,Baldo,,,F,,,,UNKNOWN,,,,,Unknown,Linked by Marriages,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0156,F0157,1,1
I0485,Nicola,Baldo,,,M,,,,UNKNOWN,,,,,Unknown,Linked by Marriages,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0157,,1,1
I0478,Agnesina,Barbabianca,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0154,,2,1
I0331,Caterina,Barca,,,F,,,,ca. 1682,,1723,,,40 to 42,By Marriage,,0,FALSE,TRUE,0,BEF 1705,,,1/1/1681 12:00:00 AM,12/31/1682 12:00:00 AM,1/1/1723 12:00:00 AM,12/31/1723 12:00:00 AM,F0108,F0123,2,1
I0377,Luca,Barca,,,M,,Y,,< 1655,,> 1696,,"Ragusan Dragoman, Then Consul",>= 110,By Marriage,,0,FALSE,FALSE,0,ABT 1682,,,12/31/1654 12:00:00 AM,12/31/1654 12:00:00 AM,1/1/1697 12:00:00 AM,1/1/1697 12:00:00 AM,F0123,,5,1
I0379,Nicoletta,Barca,,,F,,,,1685,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1685 12:00:00 AM,12/31/1685 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0123,0,0
I0380,Maria,Barca,,,F,,,,1692,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1692 12:00:00 AM,12/31/1692 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0123,0,0
I0381,Gloria,Barca,,,F,,,,1694,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1694 12:00:00 AM,12/31/1694 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0123,0,0
I0382,Paolo Pietro,Barca,,,M,,,,1688,,1689,,,<= 1,By Marriage,,0,FALSE,TRUE,0,,,,1/1/1688 12:00:00 AM,12/31/1688 12:00:00 AM,1/1/1689 12:00:00 AM,12/31/1689 12:00:00 AM,,F0123,0,0
I0273,Sofia,Beglitzi,,,F,,,,UNKNOWN,,,,,Unknown,Linked by Marriages,,0,FALSE,TRUE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0087,F0088,3,1
I0276,Scarlatos,Beglitzi,,,M,,,,< 1570,,1630,,Famous Constantinopolitan Merchant,>= 60,Linked by Marriages,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/1569 12:00:00 AM,12/31/1569 12:00:00 AM,1/1/1630 12:00:00 AM,12/31/1630 12:00:00 AM,F0088,,3,1
I0286,Ruxandra,Beglitzi,,,F,,,,1605,,1684,,,78 to 79,Linked by Marriages,,0,FALSE,TRUE,0,1633; UNKNOWN,,,1/1/1605 12:00:00 AM,12/31/1605 12:00:00 AM,1/1/1684 12:00:00 AM,12/31/1684 12:00:00 AM,"F0093,F0094",F0088,1,2
I0287,Asanina,Beglitzi,,,F,,,,UNKNOWN,,,,,Unknown,Linked by Marriages,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0088,0,0
I0108,Santa,Bembo,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0043,,0,1
I0079,Marcantonio,Borisi,,,M,,Y,,ca. 1570,,1620,,Elected Dragoman Grande,49 to 51,By Marriage,,0,FALSE,TRUE,0,UNKNOWN; BEF 1600,,,1/1/1569 12:00:00 AM,12/31/1570 12:00:00 AM,1/1/1620 12:00:00 AM,12/31/1620 12:00:00 AM,"F0031,F0032",F0035,9,2
I0080,Pietro,Borisi,,,M,,Y,,1617,,,,Settles in Capodistria,>= 110,By Marriage,,0,FALSE,TRUE,0,1634,,,1/1/1617 12:00:00 AM,12/31/1617 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0042,F0031,4,1
I0081,Francesca,Borisi,,,F,,,,ca. 1600,,> 1660,,,>= 110,By Marriage,,0,FALSE,TRUE,0,ABT 1619; BEF 1641,,,1/1/1599 12:00:00 AM,12/31/1600 12:00:00 AM,1/1/1661 12:00:00 AM,1/1/1661 12:00:00 AM,"F0039,F0040",F0032,2,2
I0082,Sultana,Borisi,,,F,,,,< 1609,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,,,,12/31/1608 12:00:00 AM,12/31/1608 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0032,0,0
I0083,Marcantonio,Borisi,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0031,0,0
I0084,Alessandra,Borisi,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0031,0,0
I0085,Maria,Borisi,,,F,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0031,0,0
I0087,Cecilia,Borisi,,,F,,,,< 1605,,> 1684,,,>= 110,By Marriage,,0,FALSE,TRUE,0,1620; UNKNOWN,,,12/31/1604 12:00:00 AM,12/31/1604 12:00:00 AM,1/1/1685 12:00:00 AM,1/1/1685 12:00:00 AM,"F0033,F0034",F0032,8,2
I0090,Pietro,Borisi,,,M,,,,< 1549,,,,,>= 110,By Marriage,,0,FALSE,FALSE,0,UNKNOWN,,,12/31/1548 12:00:00 AM,12/31/1548 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0035,,4,1
I0092,Francesco,Borisi,,,M,,,,UNKNOWN,,> 1627,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/1628 12:00:00 AM,1/1/1628 12:00:00 AM,,F0035,0,0
I0107,Marcantonio,Borisi,,,M,,,,30 Jun 1637,,,,,>= 110,By Marriage,,0,FALSE,TRUE,0,UNKNOWN,,,6/30/1637 12:00:00 AM,6/30/1637 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,F0043,F0042,0,1
I0109,Bernardo,Borisi,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0042,0,0
I0110,Francesco,Borisi,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0042,0,0
I0111,Marin,Borisi,,,M,,,,UNKNOWN,,,,,Unknown,By Marriage,,0,FALSE,TRUE,0,,,,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,12/31/9999 12:00:00 AM,1/1/2001 12:00:00 AM,,F0042,0,0
